wdi_vc_btl_deth,wdi_ic_reg_durs,wdi_ic_reg_durs_fe,wdi_ic_reg_durs_ma,vdem_v2xel_regelec,vdem_v2x_feduni,vdem_v2xel_locelec,vdem_v2csreprss,wdi_ic_frm_metg_zs,vdem_v2x_execorr,ged_count_sb,vdem_v2elembcap,vdem_v2x_pubcorr,fvp_grpop200,vdem_v2xcs_ccsi,vdem_v2xdl_delib,vdem_v2xdd_i_pl,vdem_v2x_diagacc,vdem_v2xel_frefair,wdi_sp_pop_1564_ma_zs,wdi_sp_pop_1564_to_zs,wdi_ic_imp_tmbc,wdi_ic_imp_tmdc,wdi_gc_dod_totl_gd_zs,ged_best_os,wdi_ne_imp_gnfs_zs,wdi_ic_bus_dfrn_xq,wdi_tx_val_agri_zs_un,ged_count_os,ged_dummy_os,acled_count_os,wdi_ic_crd_prvt_zs,wdi_vc_idp_nwcv,wdi_vc_idp_tocv,m_yield,eg_express_coop,egq_express_coop,ged_dummy_sb,wdi_iq_cpa_tran_xq,wdi_sp_pop_0014_fe_zs,wdi_sp_pop_0014_ma_zs,wdi_sp_pop_0014_to_zs,wdi_sp_pop_dpnd,wdi_sp_pop_dpnd_yg,vdem_v2x_freexp_altinf,fvp_prop_senpart,wdi_ms_mil_xpnd_zs,wdi_si_pov_gaps,acled_dummy_sb,wdi_sl_tlf_totl_fe_zs,wdi_sh_sta_maln_fe_zs,icgcw_alerts,acled_count_sb,m_material_coop,m_diplom_coop,wdi_ic_bus_disc_xq,wdi_sh_sta_traf_p5,wdi_tx_val_tech_mf_zs,wdi_sm_pop_refg,m_threaten,m_showforce,m_assault,eg_demand,eg_showforce,egq_demand,egq_showforce,wdi_bx_gsr_mrch_cd,wdi_nv_ind_totl_cd,wdi_ny_gdp_mktp_kd_zg,wdi_ny_gdp_pcap_cd,fvp_grgdppercapita200,acled_dummy_ns,wdi_ny_gdp_pcap_kd_zg,wdi_ny_gdp_ngas_rt_zs,wdi_ne_gdi_totl_zs,vdem_v2x_mpi,wdi_nv_ind_manf_cd,wdi_dt_dod_pvlx_gn_zs,e_diplom_coop,e_material_coop,eg_material_coop,eq_diplom_coop,eq_material_coop,egq_material_coop,wdi_ic_crd_publ_zs,wdi_sm_pop_refg_or,vdem_v2mefemjrn,wdi_ms_mil_xpnd_gd_zs,eg_appeal,egq_appeal,wdi_iq_cpa_hres_xq,eq_appeal,wdi_sg_vaw_goes_zs,acled_dummy_os,wdi_ag_prd_crop_xd,wdi_iq_cpa_padm_xq,icgcw_deteriorated,eg_reject,egq_reject,eg_yield,m_express_coop,wdi_ic_cus_durs_ex,wdi_eg_use_elec_kh_pc,wdi_nv_srv_empl_kd,wdi_nv_srv_totl_kd,wdi_nv_srv_totl_kn,wdi_se_prm_enrr,wdi_sm_pop_netm,wdi_sp_pop_grow,wdi_sp_urb_grow,vdem_v2xex_elecleg,fvp_ssp2_urban_share_iiasa,vdem_v2x_api,vdem_v2x_egaldem,wdi_ny_adj_dfor_cd,wdi_se_sec_cmpt_lo_zs,wdi_se_prm_cmpt_zs,fvp_prop_diexpo,fvp_prop_discexclpowless,fvp_prop_discriminated,fvp_prop_powerless,wdi_ny_gdp_totl_rt_zs,wdi_ny_gdp_defl_zs,wdi_ny_gdp_defl_zs_ad,wdi_nv_agr_totl_cn,wdi_eg_elc_accs_zs,wdi_sp_dyn_le00_in,wdi_sp_dyn_le00_ma_in,wdi_sp_dyn_le00_fe_in,wdi_ic_frm_crim_zs,wdi_ic_frm_rsdv_zs,vdem_v2svdomaut,wdi_sp_pop_65up_ma_zs,vdem_v2clslavem,wdi_sp_pop_65up_to_zs,wdi_nv_ind_manf_cn,wdi_sp_pop_65up_fe_zs,wdi_sp_hou_fema_zs,e_fight,wdi_en_pop_slum_ur_zs,wdi_nv_agr_totl_kn,wdi_nv_mnf_chem_zs_un,wdi_ny_gdp_mktp_cn_ad,wdi_ny_gdp_mktp_pp_cd,wdi_ny_gdp_pcap_pp_cd,wdi_sl_srv_empl_zs,wdi_ny_gdp_fcst_cn,wdi_ny_gdp_mktp_cn,wdi_sh_dyn_aids_fe_zs,fvp_gdpcap_nonoilrent,wdi_ny_gdp_pcap_cn,wdi_nv_ind_totl_kd,wdi_nv_ind_totl_kn,wdi_eg_use_pcap_kg_oe,wdi_nv_agr_totl_zs,vdem_v2lgfemleg,wdi_sg_gen_parl_zs,vdem_v2x_ex_military,vdem_v2x_genpp,wdi_hd_hci_ovrl_fe,m_demand,wdi_ic_gov_durs_zs,vdem_v2x_gender,wdi_bx_gsr_insf_zs,m_consult,m_fight,e_express_coop,e_reject,eq_express_coop,eq_reject,wdi_dt_oda_odat_pc_zs,wdi_si_dst_04th_20,wdi_sl_uem_advn_ma_zs,m_disapprove,wdi_hd_hci_ovrl_ma,wdi_bx_gsr_ccis_zs,m_reduce_relat,eq_reduce_relat,wdi_ny_gdp_frst_rt_zs,wdi_iq_cpa_irai_xq,wdi_ic_frm_trng_zs,wdi_sp_dyn_wfrt,wdi_nv_agr_totl_kd_zg,m_coerce,e_showforce,e_coerce,eq_showforce,eq_coerce,egq_protest,wdi_ic_elc_outg,wdi_ic_frm_corr_zs,wdi_iq_cpa_envr_xq,vdem_v2xeg_eqdr,vdem_v2xpe_exlgender,fvp_ssp2_edu_sec_15_24_prop,wdi_nv_srv_totl_cd,wdi_sh_sta_bass_ru_zs,vdem_v2csgender,wdi_sp_pop_totl,wdi_sp_urb_totl_in_zs,fvp_population200,fvp_timeindep,fvp_timesincepreindepwar,wdi_sh_h2o_basw_ru_zs,wdi_sh_sta_bass_ur_zs,wdi_sh_h2o_basw_ur_zs,wdi_sh_h2o_basw_zs,fvp_ltimeindep,vdem_v2xeg_eqaccess,vdem_v2xpe_exlgeo,wdi_bx_gsr_tran_zs,wdi_ag_prd_lvsk_xd,wdi_ic_imp_csbc_cd,wdi_sg_vaw_1549_zs,wdi_iq_cpa_pubs_xq,wdi_nv_mnf_txtl_zs_un,wdi_vc_pkp_totl_un,wdi_nv_ind_manf_kd,wdi_nv_ind_manf_kn,wdi_se_adt_1524_lt_fe_zs,wdi_se_adt_1524_lt_zs,wdi_se_adt_litr_fe_zs,vdem_v2x_accountability,vdem_v2x_libdem,vdem_v2x_partipdem,vdem_v2x_veracc,fvp_prop_junpart,wdi_se_adt_litr_zs,wdi_iq_cpa_soci_xq,wdi_nv_ind_manf_kd_zg,wdi_ic_frm_durs,wdi_ic_frm_outg_zs,wdi_ic_frm_bnks_zs,wdi_ic_frm_bkwc_zs,vdem_v2x_polyarchy,vdem_v2x_regime_amb,wdi_se_adt_1524_lt_ma_zs,vdem_v2x_edcomp_thick,wdi_sl_uem_neet_ma_zs,wdi_sl_uem_neet_zs,wdi_sl_uem_neet_fe_zs,wdi_sh_sta_maln_ma_zs,vdem_v2x_horacc,wdi_se_enr_prim_fm_zs,wdi_nv_ind_empl_kd,vdem_v2xpe_exlecon,wdi_per_si_allsi_cov_q1_tot,wdi_per_si_allsi_cov_pop_tot,wdi_per_si_allsi_cov_q4_tot,wdi_sp_rur_totl_zg,vdem_v2x_neopat
10.2200022200022,10.8233738483739,11.0455905205905,2.5,1,0.5,1.13333333333333,0.566666666666667,1.93333333333333,32.693981018981,17.2987512487512,6.12777777777778,8.76258186258186,1.89484126984127,7.88826728826729,12.8708624708625,2.83916083916084,3.61600621600622,0,0,0.769230769230769,0.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91666666666667,0,0,0,8.55,0.377777777777778,8.21111111111111,4.04444444444445,2.48888888888889,2.96666666666667,1.15555555555556,1.9,1.88888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0671717171717,10.5878787878788,37.679797979798,37.9333333333333,38.8707070707071,36.6237373737374,40.2207070707071,10.4727272727273,11.4787878787879,4.12121212121212,1.67272727272727,0.431818181818182,2.3,19.9666666666667,0.924242424242424,22.6484848484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,53.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0.5,0,31.3192918192918,5.05515873015873,2.4010989010989,0,0,0,0,0,0,46.9413308913309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8434371184371,0,0.6,39.6738095238095,3.58690476190476,50.6159951159951,3.15,0.503846153846154,1.28333333333333,14.114652014652,1.33461538461538,0.730769230769231,1.26153846153846,0.857692307692308,1.45,1.25,0.05,1.45,0.1,0.126923076923077,0.1,13.1662698412698,0,0,0.45,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,37.0156218781219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.15652264402264,0.916666666666667,0,0.481818181818182,0.964102564102564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03901515151515,17.1890026640027,18.0605228105228,5.66515151515152,16.0870879120879,17.1581876456876,4.86078088578088,0.541666666666667,0.0833333333333333,57.1609931734932,5.86541375291375,6.56092657342657,1.06407342657343,16.699025974026,0.333333333333333,0.125,4.23787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0.333333333333333,0,0,1.45833333333333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,16.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9916666666667,9.74166666666667,2.4,2.18333333333333,1.79166666666667,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
